Datetime,Ticker,Open,High,Low,Close,Volume,RUN_JST,RUN_ET,BASE_SESSION,POS,CC2,SD20,SIG,C2,SRC2_CLOSE,ZEROV
2026-07-30 04:00:00-04:00,SOXL,91.24,94.75,90.2,94.11,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 05:00:00-04:00,SOXL,94.17,95.62,92.5,94.85,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 06:00:00-04:00,SOXL,94.84,96.95,93.41,96.81,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 07:00:00-04:00,SOXL,96.78,100.0,91.99,99.9,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 08:00:00-04:00,SOXL,99.91,102.0753,98.22,101.71,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 09:00:00-04:00,SOXL,101.72,105.79,101.71,105.2639,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 09:30:00-04:00,SOXL,107.37999725341797,117.33000183105469,105.12000274658203,117.23999786376953,50704096,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 10:30:00-04:00,SOXL,117.23999786376953,118.0,111.68000030517578,113.0,15679911,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 11:30:00-04:00,SOXL,113.04000091552734,116.30999755859375,112.66000366210938,114.88999938964844,6627044,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-07-30 12:30:00-04:00,SOXL,114.86000061035156,115.95999908447266,112.51899719238281,114.95999908447266,5017538,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
